date,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,btc_dominance,eth_dominance,alt_dominance,fear_greed,FearGreed_Label,inflation,btc_mcap,eth_mcap,fed_rate
2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9959400448.0,1119.3699951171875,1161.3499755859375,984.8189697265624,1036.7900390625,5261680128.0,0.3342511183405036,0.2113081118235335,0.4544407698359628,30.0,Fear,2.263468931091861,170304196700.15707,107663538775.87932,1.42
2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75,12726899712.0,1035.77001953125,1035.77001953125,757.97998046875,915.7849731445312,6713290240.0,0.3396219860405013,0.2210656808896077,0.439312333069891,15.0,Extreme Fear,2.263468931091861,152744180864.1639,99423764457.44884,1.42
2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,7263790080.0,919.2109985351562,991.9429931640624,847.6900024414062,964.0189819335938,3243480064.0,0.3502524391276002,0.209757545646113,0.4399900152262866,40.0,Fear,2.263468931091861,148715185541.37634,89061856063.48083,1.42
2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,7073549824.0,964.6669921875,969.031982421875,805.0640258789062,834.6820068359375,2997090048.0,0.3412698702320049,0.2066117264338779,0.4521184033341171,24.0,Extreme Fear,2.263468931091861,151507305722.97018,91725607014.4353,1.42
2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,9285289984.0,834.9580078125,856.64599609375,644.5989990234375,697.9509887695312,4269530112.0,0.3518161777635158,0.20426064166143,0.4439231805750542,11.0,Extreme Fear,2.263468931091861,140081544557.2351,81329819333.7154,1.42
2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0,13999800320.0,707.7369995117188,796.4390258789062,574.4190063476562,793.1220092773438,6518269952.0,0.3579959965455607,0.2067621758975307,0.4352418275569084,8.0,Extreme Fear,2.263468931091861,115444836533.44772,66675677460.41152,1.42
2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,9169280000.0,790.427978515625,851.2000122070312,723.4329833984375,757.0679931640625,3896179968.0,0.3511454300224551,0.2069373740263127,0.4419171959512321,36.0,Fear,2.263468931091861,129936854004.4166,76574516020.88303,1.42
2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,9346750464.0,755.843017578125,845.0859985351562,755.843017578125,817.8070068359375,3708189952.0,0.3585990509672337,0.2048937903218076,0.4365071587109587,30.0,Fear,2.263468931091861,128271617562.32497,73290929917.86972,1.42
2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,6784820224.0,818.47998046875,884.0040283203125,788.833984375,883.864990234375,2495820032.0,0.3544709039528687,0.2018000149013468,0.4437290811457843,44.0,Fear,2.263468931091861,138345016554.78464,78759712266.80615,1.42
2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,7780960256.0,882.4669799804688,917.4000244140624,825.5770263671875,860.4149780273438,2930530048.0,0.3467377908987176,0.2020539240446916,0.4512082850565907,54.0,Neutral,2.263468931091861,145812043727.55478,84968804616.78447,1.42
