date,precio,vol_30d,cum_ret_60d,dist_sma200,drawdown,fg,cluster_km,estado_hmm,estado_hmm_causal
2018-08-19,300.8340148925781,4.123809975240841,-52.40778989044623,-48.6206907270644,-70.98409479660874,27.0,0,1,2
2018-08-20,274.31500244140625,4.279360739740818,-59.563149521737586,-52.842814232675785,-73.54189449105327,26.0,0,1,2
2018-08-21,281.9440002441406,4.351508215357296,-45.110848530092596,-51.265810824790826,-72.8060658743323,19.0,0,1,2
2018-08-22,271.34100341796875,4.370243795209407,-50.739854231826385,-52.816079093647,-73.82874128851351,21.0,0,1,2
2018-08-23,277.10400390625,4.170755039825794,-45.065424654362474,-51.57920222359409,-73.2728909937429,18.0,0,1,2
2018-08-24,282.9670104980469,4.229237575668231,-43.52600562430013,-50.37478240685844,-72.70739495588566,19.0,0,1,2
2018-08-25,279.64599609375,4.229812853624449,-38.717156886504945,-50.73538840062284,-73.02771192259763,22.0,0,1,2
2018-08-26,275.1969909667969,4.196681205830796,-42.52473634299689,-51.31250530169291,-73.4568253360498,19.0,0,1,2
2018-08-27,285.6029968261719,4.310156491315727,-34.22228942322276,-49.23248278433747,-72.45315000475665,18.0,0,1,2
2018-08-28,296.4989929199219,4.412583785890853,-33.63758910048404,-47.01907857835881,-71.40221435884683,19.0,0,1,2
2018-08-29,289.31201171875,4.414978075251208,-40.45846229392727,-48.03817472236375,-72.0954097919039,19.0,0,1,2
2018-08-30,284.1050109863281,4.361469450314087,-41.98099804409826,-48.72909625848454,-72.59763305179655,22.0,0,1,2
2018-08-31,283.0039978027344,4.3522512015204375,-47.08942900801325,-48.65644291265675,-72.70382747324271,17.0,0,1,2
2018-09-01,295.34100341796875,4.46683036606882,-40.384053694739755,-46.14959408530213,-71.51390423416626,21.0,0,1,2
2018-09-02,294.3710021972656,4.4463914050653175,-41.38526255939369,-46.01680406381424,-71.60746234951816,18.0,0,1,2
2018-09-03,289.2590026855469,4.43851729984726,-44.63986938456431,-46.63734269799152,-72.10052259499865,19.0,0,1,2
2018-09-04,285.7229919433594,4.42497033349277,-45.77799334604828,-46.96755398336083,-72.44157629043971,26.0,0,1,2
2018-09-05,232.3309936523437,5.4659996154626755,-68.18773804265331,-56.578616021925264,-77.59131695917671,17.0,0,1,2
2018-09-06,230.21499633789065,5.391274905126551,-68.58168271902272,-56.69334926147731,-77.79540816710984,14.0,0,1,2
2018-09-07,217.2030029296875,5.375516003034965,-71.69105654003941,-58.859903860010284,-79.05043502095278,17.0,0,1,2
2018-09-08,197.9510040283203,5.483399156155463,-71.68962509545612,-62.25710955026595,-80.90732003875016,18.0,0,1,2
2018-09-09,196.9239959716797,5.3383295509386866,-74.99235917060219,-62.217703707350665,-81.00637655144286,13.0,0,1,2
2018-09-10,197.07899475097656,5.332946486836051,-71.23093093208098,-61.96327800182038,-80.99142667987223,15.0,0,1,2
2018-09-11,185.0659942626953,5.396913136553318,-78.24560130446244,-64.04618851968078,-82.15009912421245,18.0,0,1,2
2018-09-12,183.3309936523437,5.141581706011627,-79.65749728805706,-64.15442796970021,-82.31744261180232,14.0,0,1,2
2018-09-13,211.35400390625,5.961662502800663,-67.52828381150029,-58.41775263285278,-79.61458000721503,20.0,0,1,2
2018-09-14,211.74899291992188,5.952782842964915,-74.18990004586182,-58.06880768257358,-79.57648270701054,23.0,0,1,2
2018-09-15,223.07400512695312,6.0372795082217,-73.07411722989984,-55.537760522294,-78.48416779460342,24.0,0,1,2
2018-09-16,220.5890045166016,5.716693511365242,-70.09849054609286,-55.75322688942086,-78.72384994014165,28.0,0,1,2
2018-09-17,197.875,5.887633770010172,-78.12830712524587,-60.03905362996076,-80.91465074462664,25.0,0,1,2
2018-09-18,209.9750061035156,6.0153649982636015,-67.98432374531546,-57.31664998299695,-79.7475864743664,21.0,0,1,2
2018-09-19,209.968994140625,5.8335334440986815,-70.59159312276047,-57.03522172153366,-79.74816633746926,24.0,0,1,2
2018-09-20,224.59100341796875,5.96845126551817,-63.02675714300404,-53.739299987940385,-78.33785096729407,24.0,0,1,2
2018-09-21,246.58399963378903,6.226567882539267,-51.318947107619636,-48.88967229038054,-76.2165925266066,31.0,0,1,2
2018-09-22,240.47999572753903,6.225886337243269,-60.12015739668409,-49.85528806445901,-76.80533312752608,35.0,0,1,2
2018-09-23,244.3300018310547,6.219763503947616,-57.08398732428025,-48.780944026714444,-76.43399409469771,38.0,0,1,2
2018-09-24,228.72999572753903,6.31711660573882,-61.67913599206953,-51.81082516879295,-77.93863876871693,43.0,0,1,2
2018-09-25,218.5050048828125,6.356485792594754,-67.36251765830855,-53.71618688650628,-78.92485492237252,37.0,0,1,2
2018-09-26,215.8470001220703,6.303895203258772,-67.98961829309745,-54.049969781342135,-79.18122358532241,37.0,0,1,2
2018-09-27,228.49400329589844,6.365492905489316,-62.08046973804628,-51.10008007265665,-77.96140060310472,42.0,0,1,2
2018-09-28,222.4019927978516,6.367954607406597,-62.69290267931552,-52.15942493469918,-78.54898442128602,42.0,0,1,2
2018-09-29,231.634994506836,6.424078246982607,-53.46266289435198,-49.92602140087524,-77.65844715133568,37.0,0,1,2
2018-09-30,232.84800720214844,6.426655633561237,-49.915021679743845,-49.45540428390299,-77.54145020406472,34.0,0,1,2
2018-10-01,230.7680053710937,6.362518870787465,-48.87698050398984,-49.69916173983636,-77.74206959204953,35.0,0,1,2
2018-10-02,227.1809997558593,6.364525682669892,-51.79846985179245,-50.278093967007656,-78.08804182172855,33.0,0,1,2
2018-10-03,220.488998413086,6.375398707166513,-52.11182287001418,-51.56661731382521,-78.73349568322826,36.0,0,1,2
2018-10-04,222.218002319336,6.3802533908668195,-52.12911868670328,-51.016583190776075,-78.56673058700748,29.0,0,1,2
2018-10-05,227.6009979248047,5.410963571593925,-48.766931381539536,-49.64736044261407,-78.0475323498855,37.0,0,1,2
2018-10-06,225.1199951171875,5.412183638646435,-43.3544840201832,-50.01263118856074,-78.28682890117766,34.0,0,1,2
2018-10-07,226.11900329589844,5.303499022550693,-36.70317921784519,-49.60301936501643,-78.19047301994117,29.0,0,1,2
2018-10-08,229.2550048828125,5.0174035501558505,-37.83303366810653,-48.72668842694705,-77.88800082511281,26.0,0,1,2
2018-10-09,227.98199462890625,5.0176906706946,-29.796124688355963,-48.83308745961641,-78.01078462954224,31.0,0,1,2
